Provinsi,IKU,IKA,IKAL,IKL
Aceh,89.63,57.14,76.51,76.52
Sumatera Utara,89.55,53.72,81.43,48.89
Sumatera Barat,90.22,52.55,83.75,66.24
Riau,90.13,52.25,77.73,50.22
Jambi,87.08,48.96,83.58,51.47
Sumatera Selatan,86.28,58.25,75.53,41.25
Bengkulu,90.81,49.81,83.61,55.52
Lampung,85.46,57.77,79.56,33.54
Bangka Belitung,90.39,58.37,82.71,40.1
Kepulauan Riau,90.91,55.15,75.68,60.39
DKI Jakarta,66.52,44.19,75.18,26.25
Jawa Barat,79.34,43.09,87.42,40.78
Jawa Tengah,84.6,47.94,83.23,41.51
DI Yogyakarta,88.59,45.73,83.35,29.66
Jawa Timur,83.2,53.57,82.46,47.36
Banten,74.14,54.95,85.92,39.21
Bali,89.28,54.29,85.14,42.11
Nusa Tenggara Barat,88.52,45.1,80.22,65.59
Nusa Tenggara Timur,90.51,58.28,87.36,58.65
Kalimantan Barat,90.71,54.35,77.83,59.35
Kalimantan Tengah,90.39,55.34,76.52,75.43
Kalimantan Selatan,89.15,54.75,76.45,50.26
Kalimantan Timur,88.84,51.92,85.4,82.21
Kalimantan Utara,93.43,57.34,81.52,99.96
Sulawesi Utara,91.27,49.69,82.65,61.94
Sulawesi Tengah,91.33,55.84,87.36,83.1
Sulawesi Selatan,89.13,56.82,84.82,55.54
Sulawesi Tenggara,90.89,53.26,81.6,74.34
Gorontalo,93.96,53.46,84.8,79.21
Sulawesi Barat,90.97,56.04,81.52,72.66
Maluku,90.7,55.56,86.07,90.21
Maluku Utara,91.64,53.08,87.55,86.58
Papua Barat,95.6,54.44,81.12,100
Papua,94.02,57.83,70.34,100
