Brand;Price;Ram;CPU;GPU;Display;Storage
Lenovo;146999;20;0,00;0,00;32,40;4285,71
HP;111900;16;3966,33;0,00;25,99;466,67
Acer;204900;64;4084,38;0,00;46,75;8571,43
ASUS;96999;40;4036,08;0,00;25,99;4285,71
HP;71299;12;3966,33;0,00;25,99;2142,86
Dell;157900;24;4681,43;0,00;30,14;1097,14
ASUS;229999;32;5209,73;0,00;85,19;4285,71
ASUS;179999;64;5058,01;0,00;46,75;4285,71
HP;225499;16;4442,10;43,79;129,57;2142,86
Lenovo;139900;16;2809,54;0,00;32,40;2142,86
HP;160900;8;3279,53;0,00;34,49;4285,71
HP;50499;16;3059,80;0,00;11,28;2142,86
MSI;104900;16;3940,23;0,00;28,75;4285,71
Alienware;195900;16;4681,43;0,00;82,76;2142,86
ASUS;104999;32;0,00;0,00;46,75;2142,86
ASUS;49900;12;3059,80;0,00;28,75;1097,14
ASUS;45900;12;2253,44;11,05;11,53;548,57
ASUS;73999;8;3816,33;0,00;99,23;548,57
Acer;334499;32;4300,12;0,00;66,69;17142,86
ASUS;154900;64;4491,93;0,00;46,75;8571,43
Lenovo;144999;40;3704,22;0,00;32,40;4285,71
Acer;74000;16;3279,53;0,00;32,40;933,33
HP;52900;16;2253,44;11,05;11,53;1097,14
Acer;309999;64;4084,38;0,00;46,75;16285,71
MSI;189900;16;4869,93;0,00;43,99;2142,86
Lenovo;82999;8;3811,79;0,00;46,62;2142,86
HP;173900;40;4233,09;0,00;25,99;2142,86
ASUS;134900;40;4681,43;0,00;30,14;4285,71
HP;122900;16;4233,09;0,00;28,75;4285,71
HP;109999;16;3979,73;0,00;11,55;1097,14
MSI;474900;64;6233,67;0,00;81,93;4285,71
HP;25900;4;1810,09;2,64;11,53;137,14
ASUS;89900;36;4349,91;0,00;100,91;2142,86
ASUS;148900;24;5209,73;0,00;43,00;2142,86
Dell;89999;16;3133,96;13,62;28,75;1097,14
HP;70899;16;3773,52;0,00;11,55;4285,71
ASUS;259900;64;4221,91;0,00;80,18;8571,43
Acer;64999;8;3279,53;0,00;25,99;466,67
HP;446900;32;2809,54;0,00;32,40;17142,86
Lenovo;87999;8;3370,68;0,00;12,68;4285,71
Acer;44897;20;3059,80;0,00;28,75;1097,14
MSI;142900;32;4491,93;0,00;46,75;4285,71
Acer;59900;20;3059,80;0,00;28,75;1097,14
ASUS;152900;16;4814,25;0,00;100,91;8571,43
ASUS;303999;64;5157,91;0,00;52,64;4285,71
ASUS;114900;16;4300,12;0,00;66,69;2142,86
ASUS;137900;32;4300,12;0,00;66,69;2142,86
ASUS;218999;16;0,00;0,00;69,12;2142,86
ASUS;206999;16;0,00;0,00;69,12;2142,86
HP;61900;20;3059,80;0,00;11,53;1097,14
HP;77900;16;4233,09;0,00;32,40;1097,14
ASUS;64900;20;3059,80;0,00;28,75;2142,86
ASUS;45999;16;3059,80;0,00;11,53;2142,86
ASUS;219900;16;5209,73;0,00;85,08;4285,71
Dell;79900;16;2849,67;0,00;32,40;1097,14
Lenovo;203100;32;5438,96;0,00;30,14;4285,71
Lenovo;81499;16;3801,17;0,00;35,04;548,57
Dell;314843;16;4349,91;0,00;28,75;548,57
Dell;377223;16;4697,75;0,00;30,96;1097,14
HP;95999;32;3540,62;0,00;11,28;4285,71
LG;174900;16;4180,51;0,00;28,75;2142,86
ASUS;296999;64;0,00;0,00;69,12;2142,86
ASUS;54999;20;3279,53;0,00;28,75;1097,14
HP;155999;16;4814,25;0,00;59,47;2142,86
ASUS;56999;12;0,00;0,00;28,75;1097,14
ASUS;118900;32;4681,43;0,00;30,14;2142,86
ASUS;110900;16;4681,43;0,00;30,14;2142,86
ASUS;152900;24;0,00;132,87;68,38;2142,86
Acer;79900;12;3801,17;0,00;28,75;1097,14
MSI;199900;32;4084,38;0,00;46,75;4285,71
HP;102900;16;3940,23;0,00;11,55;466,67
HP;135900;64;3940,23;0,00;28,75;4285,71
HP;198900;64;3979,73;35,83;25,99;8571,43
MSI;209900;32;4653,22;0,00;46,62;4285,71
LG;194999;16;4180,51;0,00;43,35;4285,71
ASUS;64900;8;3138,05;52,01;32,40;548,57
Lenovo;184900;24;5329,44;0,00;69,12;2142,86
HP;36900;8;1995,10;2,64;11,53;137,14
MSI;339999;32;4084,38;0,00;28,75;2142,86
