Name;Brand;Price;Ram;CPU;GPU;Display;Storage
Lenovo ThinkPad T14 Gen 2;Lenovo;146999;20;0;0;32,40413851;4285,714286
HP 17;HP;111900;16;3966,329123;0;25,98752411;466,6666667
Acer Predator Triton 300;Acer;204900;64;4084,383139;0;46,75459559;8571,428571
ASUS Vivobook 17X;ASUS;96999;40;4036,075533;0;25,98752411;4285,714286
HP 17;HP;71299;12;3966,329123;0;25,98752411;2142,857143
Dell Vostro 7620;Dell;157900;24;4681,425152;0;30,1392663;1097,142857
ASUS ROG Zephyrus M16;ASUS;229999;32;5209,731613;0;85,1882764;4285,714286
ASUS TUF Gaming A15;ASUS;179999;64;5058,005254;0;46,75459559;4285,714286
HP Spectre x360 16;HP;225499;16;4442,097379;43,78731469;129,5652174;2142,857143
Lenovo ThinkPad X1 Yoga 5;Lenovo;139900;16;2809,54399;0;32,40413851;2142,857143
HP ENVY 13;HP;160900;8;3279,528958;0;34,48901403;4285,714286
HP 15;HP;50499;16;3059,796176;0;11,27864112;2142,857143
MSI Modern 15;MSI;104900;16;3940,228791;0;28,75459559;4285,714286
Alienware m15 R7;Alienware;195900;16;4681,425152;0;82,75977699;2142,857143
ASUS TUF Dash F15;ASUS;104999;32;0;0;46,75459559;2142,857143
ASUS VivoBook 15;ASUS;49900;12;3059,796176;0;28,75459559;1097,142857
ASUS VivoBook 14;ASUS;45900;12;2253,440028;11,04833338;11,52745777;548,5714286
ASUS Zenbook 14;ASUS;73999;8;3816,327145;0;99,230514;548,5714286
Acer Nitro 5;Acer;334499;32;4300,124315;0;66,68834842;17142,85714
ASUS TUF Dash F15;ASUS;154900;64;4491,934191;0;46,75459559;8571,428571
Lenovo ThinkPad E14 Gen 4;Lenovo;144999;40;3704,222483;0;32,40413851;4285,714286
Acer Aspire 5;Acer;74000;16;3279,528958;0;32,40413851;933,3333333
HP 14;HP;52900;16;2253,440028;11,04833338;11,52745777;1097,142857
Acer Nitro 5;Acer;309999;64;4084,383139;0;46,75459559;16285,71429
MSI Raider GE76;MSI;189900;16;4869,93085;0;43,98752411;2142,857143
